,target,ratio
18,tonic-clonic,100
11,Gastaut type,100
32,parietal,100
31,occipital,100
28,frontal,100
25,central,100
24,Rasmussen,100
1,EME,100
17,temporal lobe,100
15,Lennox-Gastaut,100
35,temporal occipital,100
4,infantile,100
30,mutlifocal,90
3,Myoclonic encephalopathy,84
23,Reflex,83
6,Unkown,83
8,Dravet,83
26,supplementary motor area,83
33,external temporal,82
10,myoclonic atonic,81
12,CAE,80
5,migrating focal,80
27,Temporoparietal junction,78
13,myoclonic absences,78
29,insular,77
22,Gelastic,75
9,West,75
21,JME,67
19,jAE,67
7,MEI,67
34,MTLE with HS,67
2,Ohtahara,62
20,ADEAF,60
16,Panayiotopoulos,60
14,Landau-Kleffner,60
0,BFNE,50
